Nodes total,Nodes during each observation,Broken frames due to collision,Completed transmissions
491000,9.86,213,22
492000,10.04,227,19
493000,9.87,236,16
494000,9.89,224,21
495000,10.03,221,18
496000,10.01,225,21
497000,9.85,245,19
498000,9.83,222,18
499000,10.04,234,19
500000,10.12,234,17
501000,10.05,247,20
502000,10.1,230,14
503000,10.18,236,21
504000,10.21,251,18
505000,10.28,280,15
506000,10.17,259,15
507000,10.12,221,22
508000,10.3,246,21
509000,10.35,220,21
510000,10.37,250,19
511000,10.35,229,20
512000,10.3,257,19
513000,10.38,207,26
514000,10.42,212,24
515000,10.21,246,22
516000,10.44,254,21
517000,10.37,258,19
518000,10.76,248,21
519000,10.42,245,20
520000,10.75,250,18
521000,10.53,248,20
522000,10.54,246,19
523000,10.67,271,14
524000,10.51,242,19
525000,10.62,239,24
526000,10.57,248,22
527000,10.72,300,10
528000,10.69,237,21
529000,10.74,268,16
530000,10.79,267,14
531000,10.71,240,18
532000,10.82,232,20
533000,10.75,259,15
534000,10.76,262,16
535000,10.57,225,25
536000,10.89,256,20
537000,10.94,260,15
538000,10.59,250,15
539000,10.86,274,17
540000,10.93,267,19
541000,11.02,270,19
542000,10.88,227,26
543000,11.09,292,20
544000,11.19,289,14
545000,10.82,250,17
546000,11.17,283,17
547000,10.87,288,9
548000,10.95,256,19
549000,11.15,242,21
550000,11.03,248,20
551000,11.03,214,17
552000,11.26,268,15
553000,11.14,291,16
554000,11.35,263,22
555000,11.08,252,15
556000,11.37,293,13
557000,11.1,294,17
558000,11.21,248,19
559000,11.33,293,11
560000,11.22,257,20
561000,11.23,273,19
562000,11.17,261,19
563000,11.51,262,21
564000,11.25,257,17
565000,11.72,292,12
566000,11.34,302,13
567000,11.33,282,14
568000,11.47,240,15
569000,11.61,297,13
570000,11.57,306,9
571000,11.64,235,27
572000,11.57,265,19
573000,11.62,274,19
574000,11.5,285,16
575000,11.5,295,9
576000,11.61,298,11
577000,11.57,277,17
578000,11.78,307,10
579000,11.51,268,18
580000,11.72,279,12
581000,11.83,254,21
582000,11.59,323,10
583000,11.81,288,13
584000,11.95,299,17
585000,11.76,293,10
586000,11.94,307,10
587000,11.91,276,12
588000,12.08,303,12
589000,12.01,270,17
590000,11.83,268,19
591000,11.83,279,16
592000,12.09,278,13
593000,11.92,297,9
594000,12.05,284,18
595000,12.21,295,17
596000,12.09,305,17
597000,12.13,295,16
598000,12,295,11
599000,12.14,306,13
600000,12.05,303,12
601000,12.15,281,23
602000,12.13,287,20
603000,12.31,338,14
604000,12.09,295,15
605000,12.28,316,13
606000,12.16,301,14
607000,12.17,306,16
608000,12.49,320,11
609000,12.09,313,15
610000,12.2,279,15
611000,12.36,323,8
612000,12.46,299,14
613000,12.31,298,18
614000,12.46,308,11
615000,12.48,314,19
616000,12.28,314,15
617000,12.59,261,18
618000,12.57,338,11
619000,12.6,329,12
620000,12.57,293,17
621000,12.32,295,10
622000,12.59,298,14
623000,12.44,306,14
624000,12.73,295,14
625000,12.57,301,12
626000,12.35,304,15
627000,12.68,306,13
628000,12.78,325,10
629000,12.83,333,13
630000,12.61,296,15
631000,12.97,311,12
632000,12.86,295,17
633000,12.91,306,19
634000,12.67,282,12
635000,12.74,312,11
636000,12.82,342,8
637000,13.17,297,18
638000,12.87,287,14
639000,12.9,304,19
640000,13.06,311,18
641000,12.91,321,14
642000,13.02,313,14
643000,13.26,344,5
644000,13.1,310,8
645000,13.2,304,14
646000,13.13,304,13
647000,12.85,308,14
648000,13,322,18
649000,13.14,325,11
650000,13.19,322,12
651000,13.11,319,17
652000,13.13,329,9
653000,12.99,282,13
654000,13.52,314,11
655000,13.16,307,11
656000,13.28,309,19
657000,13.41,287,16
658000,13.42,312,15
659000,13.37,320,11
660000,13.32,329,10
661000,13.31,327,14
662000,13.39,303,12
663000,13.52,333,13
664000,13.32,325,12
665000,13.67,347,14
666000,13.48,313,14
667000,13.08,305,17
668000,13.63,312,12
669000,13.52,356,10
670000,13.5,321,20
671000,13.46,346,13
672000,13.59,328,9
673000,13.7,325,15
674000,13.46,358,10
675000,13.68,337,10
676000,13.84,309,10
677000,13.5,324,7
678000,13.7,299,17
679000,13.95,332,12
680000,13.73,323,14
681000,13.55,316,16
682000,13.66,359,15
683000,13.85,338,14
684000,13.92,356,9
685000,13.77,302,12
686000,13.9,327,15
687000,13.96,353,6
688000,13.87,316,17
689000,13.9,355,17
690000,13.85,331,12
691000,13.99,337,17
692000,13.92,332,18
693000,14.02,299,17
694000,13.96,347,11
695000,14.01,337,9
696000,14.1,348,11
697000,14.09,350,9
698000,13.95,367,12
699000,14.04,325,19
700000,14.17,353,14
701000,14.08,342,12
702000,14.39,311,9
703000,14.1,346,9
704000,14.22,336,12
705000,14.29,346,14
706000,14.31,347,13
707000,14.33,370,9
708000,14.07,353,12
709000,14.4,334,7
710000,14.33,359,5
711000,14.29,345,16
712000,14.37,360,14
713000,14.51,318,12
714000,14.35,372,9
715000,14.43,345,15
716000,14.42,365,11
717000,14.5,382,12
718000,14.46,346,16
719000,14.58,385,9
720000,14.52,329,11
721000,14.51,346,9
722000,14.6,365,14
723000,14.72,377,10
724000,14.78,353,13
725000,14.68,359,10
726000,14.44,363,14
727000,14.57,339,10
728000,14.47,351,15
729000,14.69,379,11
730000,14.78,360,5
731000,14.78,344,10
732000,14.77,354,9
733000,14.77,357,12
734000,14.85,346,10
735000,14.9,365,9
736000,14.81,356,14
737000,15.06,391,13
738000,14.85,381,6
739000,14.95,355,11
740000,14.86,363,15
741000,14.96,348,16
742000,15,368,6
743000,14.97,370,8
744000,15,357,8
745000,15.2,395,6
746000,15.19,362,12
747000,15.03,336,14
748000,15.13,353,10
749000,15.21,373,6
750000,15,388,11
751000,15.02,374,11
752000,15.2,364,9
753000,15.11,388,7
754000,15.1,377,8
755000,15.33,350,8
756000,15.17,391,15
757000,15.42,386,11
758000,15.35,380,13
759000,15.5,392,7
760000,15.27,333,11
761000,15.46,378,13
762000,15.22,386,12
763000,15.45,360,12
764000,15.34,349,14
765000,15.38,383,10
766000,15.43,391,1
767000,15.38,372,9
768000,15.54,370,17
769000,15.49,385,9
770000,15.52,360,9
771000,15.6,368,12
772000,15.55,385,7
773000,15.55,414,8
774000,15.66,376,8
775000,15.8,408,12
776000,15.77,362,11
777000,15.47,395,16
778000,15.61,390,9
779000,16.02,398,11
780000,15.82,379,9
781000,15.64,408,8
782000,15.89,424,7
783000,15.82,384,8
784000,15.82,387,8
785000,15.92,435,9
786000,15.94,409,6
787000,16,366,10
788000,15.99,385,10
789000,15.77,412,11
790000,15.87,431,10
791000,16.02,424,5
792000,16.09,397,6
793000,16.08,390,12
794000,16.03,380,8
795000,16.1,396,10
796000,16.04,413,7
797000,16.16,407,10
798000,16.25,399,9
799000,16.19,382,10
800000,16.13,370,15
801000,16.14,419,4
802000,16.08,391,13
803000,16.15,371,12
804000,16.31,388,15
805000,16.34,377,13
806000,16.27,388,8
807000,16.31,397,13
808000,16.27,408,10
809000,16.36,407,9
810000,16.52,407,7
811000,16.47,420,5
812000,16.52,397,11
813000,16.46,395,8
814000,16.5,393,6
815000,16.41,379,9
816000,16.38,410,10
817000,16.45,418,5
818000,16.47,402,12
819000,16.64,439,9
820000,16.53,386,10
821000,16.45,380,11
822000,16.59,403,3
823000,16.74,466,3
824000,16.54,408,8
825000,16.71,393,9
826000,16.7,443,9
827000,16.61,428,10
828000,16.75,412,11
829000,16.84,456,9
830000,16.67,423,4
831000,16.73,411,5
832000,16.78,420,9
833000,16.95,419,10
834000,16.85,400,16
835000,16.86,416,6
836000,16.83,398,4
837000,16.95,411,7
838000,16.88,423,2
839000,16.81,425,5
840000,16.92,393,10
841000,17.03,429,8
842000,16.85,406,11
843000,16.91,386,17
844000,17.09,435,6
845000,16.93,411,14
846000,16.89,401,6
847000,17.02,428,11
848000,17.09,450,7
849000,17.1,445,10
850000,17.21,430,8
851000,17.22,430,11
852000,17.15,418,13
853000,17.23,390,6
854000,17.15,447,5
