Nodes total,Nodes during each observation,Broken frames due to collision,Completed transmissions
660000,46,451,4
661000,46,467,6
662000,46,483,8
663000,46,436,4
664000,46,461,6
665000,46,467,5
666000,46,474,7
667000,46,465,5
668000,46,464,8
669000,46,484,8
670000,47,469,12
671000,47,472,4
672000,47,474,5
673000,47,484,8
674000,47,480,4
675000,47,451,14
676000,47,461,9
677000,47,469,4
678000,47,479,10
679000,47,456,9
680000,47,472,6
681000,47,518,9
682000,47,435,7
683000,47,445,9
684000,47,468,4
685000,48,498,6
686000,48,472,7
687000,48,491,5
688000,48,466,6
689000,48,465,5
690000,48,459,4
691000,48,498,5
692000,48,468,5
693000,48,442,6
694000,48,504,7
695000,48,496,12
696000,48,469,11
697000,48,465,7
698000,48,453,10
699000,49,490,6
700000,49,495,9
701000,49,524,2
702000,49,468,8
703000,49,525,3
704000,49,494,6
705000,49,471,6
706000,49,494,6
707000,49,513,8
708000,49,499,2
709000,49,480,4
710000,49,484,5
711000,49,489,4
712000,49,482,9
713000,50,490,6
714000,50,522,7
715000,50,489,9
716000,50,507,7
717000,50,496,5
718000,50,471,4
719000,50,507,8
720000,50,493,6
721000,50,479,4
722000,50,513,9
723000,50,507,8
724000,50,495,8
725000,50,520,7
726000,50,515,7
727000,50,488,5
728000,51,516,8
729000,51,536,3
730000,51,499,10
731000,51,558,5
732000,51,538,6
733000,51,556,4
734000,51,506,10
735000,51,484,5
736000,51,498,4
737000,51,535,6
738000,51,506,5
739000,51,505,3
740000,51,522,6
741000,51,529,4
742000,52,546,10
743000,52,497,8
744000,52,511,10
745000,52,527,7
746000,52,521,6
747000,52,539,8
748000,52,545,9
749000,52,538,8
750000,52,487,9
751000,52,496,7
752000,52,522,12
753000,52,513,7
754000,52,531,7
755000,52,519,10
756000,52,521,8
757000,53,550,8
758000,53,512,4
759000,53,498,7
760000,53,541,9
761000,53,508,6
762000,53,528,6
763000,53,523,8
764000,53,532,7
765000,53,544,8
766000,53,543,6
767000,53,501,9
768000,53,534,11
769000,53,513,11
770000,53,525,8
771000,54,554,7
772000,54,534,5
773000,54,542,7
774000,54,539,6
775000,54,548,7
776000,54,587,7
777000,54,531,10
778000,54,531,5
779000,54,551,10
780000,54,541,11
781000,54,536,6
782000,54,516,4
783000,54,523,12
784000,54,524,9
785000,55,546,8
786000,55,558,8
787000,55,527,10
788000,55,555,7
789000,55,535,7
790000,55,541,12
791000,55,550,4
792000,55,558,5
793000,55,552,7
794000,55,581,7
795000,55,569,7
796000,55,521,11
797000,55,534,5
798000,55,525,6
799000,55,535,9
800000,56,566,13
801000,56,580,6
802000,56,561,4
803000,56,566,3
804000,56,576,3
805000,56,574,8
806000,56,565,8
807000,56,577,10
808000,56,534,10
809000,56,549,10
810000,56,554,9
811000,56,555,12
812000,56,559,11
813000,56,528,6
814000,57,596,9
815000,57,550,2
816000,57,583,7
817000,57,551,8
818000,57,583,6
819000,57,575,5
820000,57,560,3
821000,57,569,9
822000,57,595,7
823000,57,602,8
824000,57,566,5
825000,57,532,7
826000,57,588,8
827000,57,569,8
828000,58,562,8
829000,58,595,8
830000,58,576,7
831000,58,609,8
832000,58,533,8
833000,58,549,14
834000,58,611,12
835000,58,530,8
836000,58,581,5
837000,58,567,9
838000,58,605,8
839000,58,574,3
840000,58,561,7
841000,58,615,11
842000,58,604,4
843000,59,564,7
844000,59,626,9
845000,59,579,6
846000,59,568,5
847000,59,602,13
848000,59,591,9
849000,59,565,8
850000,59,619,7
851000,59,605,7
852000,59,642,11
853000,59,618,3
854000,59,596,4
855000,59,580,9
856000,59,628,7
857000,60,621,11
858000,60,598,7
859000,60,614,14
860000,60,611,10
861000,60,592,6
862000,60,583,9
863000,60,603,4
864000,60,621,3
865000,60,599,11
866000,60,607,5
867000,60,618,7
868000,60,615,5
869000,60,616,11
870000,60,629,8
871000,60,599,8
872000,61,684,5
873000,61,618,8
874000,61,599,6
875000,61,609,4
876000,61,596,8
877000,61,622,6
878000,61,639,9
879000,61,588,7
880000,61,595,10
881000,61,646,6
882000,61,604,11
883000,61,612,7
884000,61,602,9
885000,61,627,21
886000,62,596,4
887000,62,619,8
888000,62,614,6
889000,62,637,13
890000,62,602,6
891000,62,617,9
892000,62,657,13
893000,62,611,7
894000,62,586,5
895000,62,654,8
896000,62,617,9
897000,62,630,13
898000,62,647,5
899000,62,627,7
900000,62,630,7
901000,63,648,7
902000,63,657,10
903000,63,665,11
904000,63,668,9
905000,63,614,13
906000,63,609,10
907000,63,647,12
908000,63,647,9
909000,63,618,9
910000,63,666,16
911000,63,636,8
912000,63,608,9
913000,63,673,8
914000,63,670,7
915000,64,670,10
916000,64,691,5
917000,64,638,7
918000,64,641,8
919000,64,653,4
920000,64,617,5
921000,64,620,8
922000,64,648,10
923000,64,664,10
924000,64,650,6
925000,64,638,7
926000,64,656,13
927000,64,647,8
928000,64,661,7
929000,65,673,7
930000,65,656,8
931000,65,616,9
932000,65,583,7
933000,65,642,12
934000,65,686,8
935000,65,650,7
936000,65,627,6
937000,65,702,9
938000,65,648,9
939000,65,659,12
940000,65,672,9
941000,65,631,7
942000,65,673,9
943000,65,647,9
944000,66,696,8
945000,66,692,5
946000,66,691,10
947000,66,665,7
948000,66,655,9
949000,66,698,11
950000,66,669,9
951000,66,669,8
952000,66,651,7
953000,66,656,10
954000,66,670,8
955000,66,636,5
956000,66,673,11
957000,66,682,9
958000,67,672,5
959000,67,659,8
960000,67,659,11
961000,67,688,12
962000,67,725,7
963000,67,679,3
964000,67,701,11
965000,67,632,11
966000,67,685,14
967000,67,683,11
968000,67,677,7
969000,67,671,9
970000,67,676,9
971000,67,639,8
972000,67,669,9
973000,68,691,8
974000,68,672,4
975000,68,657,4
976000,68,643,10
977000,68,647,11
978000,68,652,11
979000,68,706,6
980000,68,666,13
981000,68,664,12
982000,68,669,10
983000,68,705,10
984000,68,700,5
985000,68,699,11
986000,68,693,13
987000,69,683,10
988000,69,695,11
989000,69,725,5
990000,69,673,15
991000,69,686,8
992000,69,674,4
993000,69,725,12
994000,69,730,9
995000,69,674,9
996000,69,712,10
997000,69,689,9
998000,69,693,8
999000,69,666,2
1000000,69,678,16
1001000,70,704,5
1002000,70,658,13
1003000,70,681,12
1004000,70,779,7
1005000,70,723,12
1006000,70,681,9
1007000,70,640,9
1008000,70,762,11
1009000,70,695,6
1010000,70,710,8
1011000,70,720,9
1012000,70,698,9
1013000,70,700,6
1014000,70,714,15
1015000,70,694,8
1016000,71,708,13
1017000,71,691,8
1018000,71,711,9
1019000,71,730,9
1020000,71,705,7
1021000,71,675,8
1022000,71,682,9
1023000,71,695,13
1024000,71,707,10
1025000,71,758,6
1026000,71,694,9
1027000,71,687,9
1028000,71,728,7
1029000,71,729,8
1030000,72,706,12
1031000,72,687,10
1032000,72,745,14
1033000,72,703,8
1034000,72,704,10
1035000,72,752,8
1036000,72,705,10
1037000,72,668,10
1038000,72,753,8
1039000,72,783,7
1040000,72,698,15
1041000,72,699,7
1042000,72,700,7
1043000,72,744,12
1044000,72,678,10
1045000,73,697,6
1046000,73,742,5
1047000,73,739,12
1048000,73,742,11
1049000,73,735,7
1050000,73,742,12
1051000,73,707,6
1052000,73,727,13
1053000,73,764,9
1054000,73,782,6
1055000,73,744,8
1056000,73,723,10
1057000,73,718,7
1058000,73,742,8
1059000,74,756,10
1060000,74,772,12
1061000,74,761,7
1062000,74,759,8
1063000,74,707,5
1064000,74,768,7
1065000,74,770,10
1066000,74,721,8
1067000,74,728,15
1068000,74,714,9
1069000,74,751,8
1070000,74,776,5
1071000,74,712,11
1072000,74,751,7
1073000,75,752,14
1074000,75,766,7
1075000,75,765,7
1076000,75,747,6
1077000,75,694,13
1078000,75,747,8
1079000,75,749,6
1080000,75,750,4
1081000,75,796,13
1082000,75,744,6
1083000,75,760,13
1084000,75,758,8
1085000,75,742,13
1086000,75,760,8
1087000,75,742,16
1088000,76,770,7
1089000,76,735,9
1090000,76,800,7
1091000,76,764,12
1092000,76,750,8
1093000,76,779,8
1094000,76,777,7
1095000,76,779,11
1096000,76,785,10
1097000,76,737,10
1098000,76,786,10
1099000,76,790,15
1100000,76,734,7
1101000,76,753,9
1102000,77,786,11
1103000,77,737,10
1104000,77,791,13
1105000,77,755,8
1106000,77,795,8
1107000,77,751,11
1108000,77,752,11
1109000,77,756,6
1110000,77,748,11
1111000,77,759,17
1112000,77,731,10
1113000,77,798,6
1114000,77,759,10
1115000,77,777,11
1116000,77,778,8
1117000,78,763,7
1118000,78,809,11
1119000,78,795,14
1120000,78,790,11
1121000,78,783,14
1122000,78,788,8
1123000,78,752,11
1124000,78,757,8
1125000,78,754,6
1126000,78,863,11
1127000,78,832,5
1128000,78,779,10
1129000,78,779,11
1130000,78,797,14
1131000,79,805,13
1132000,79,814,8
1133000,79,816,7
1134000,79,805,8
1135000,79,777,8
1136000,79,779,7
1137000,79,816,13
1138000,79,803,14
1139000,79,806,8
1140000,79,759,15
1141000,79,810,13
1142000,79,716,11
1143000,79,804,13
1144000,79,832,9
1145000,80,777,12
1146000,80,763,15
1147000,80,807,14
1148000,80,793,9
1149000,80,763,6
1150000,80,832,8
1151000,80,797,8
1152000,80,816,7
1153000,80,805,15
1154000,80,803,10
1155000,80,779,16
1156000,80,816,10
1157000,80,838,6
1158000,80,811,9
1159000,80,795,10
1160000,81,793,12
1161000,81,848,10
1162000,81,813,14
1163000,81,836,19
1164000,81,830,9
1165000,81,813,7
1166000,81,884,7
1167000,81,795,10
1168000,81,826,9
1169000,81,820,10
1170000,81,864,9
1171000,81,770,12
1172000,81,821,1
1173000,81,754,9
1174000,82,831,8
1175000,82,808,11
1176000,82,827,14
1177000,82,822,12
1178000,82,800,9
1179000,82,779,7
1180000,82,824,11
1181000,82,796,11
1182000,82,837,13
1183000,82,867,17
1184000,82,809,17
1185000,82,838,9
1186000,82,789,10
1187000,82,821,7
1188000,82,844,12
1189000,83,814,9
1190000,83,788,8
1191000,83,836,10
1192000,83,861,13
1193000,83,801,6
1194000,83,857,7
1195000,83,805,11
1196000,83,835,7
1197000,83,817,6
1198000,83,798,12
1199000,83,822,9
1200000,83,839,15
1201000,83,881,7
1202000,83,843,11
1203000,84,879,9
1204000,84,843,10
1205000,84,843,8
1206000,84,842,11
1207000,84,876,9
1208000,84,900,9
1209000,84,818,15
1210000,84,836,11
1211000,84,833,9
1212000,84,882,14
1213000,84,832,10
1214000,84,823,12
