Nodes total,Nodes during each observation,Broken frames due to collision,Completed transmissions
1045000,73,748,0
1046000,73,715,0
1047000,73,709,0
1048000,73,741,0
1049000,73,708,0
1050000,73,758,0
1051000,73,767,0
1052000,73,734,0
1053000,73,697,0
1054000,73,764,0
1055000,73,711,0
1056000,73,759,0
1057000,73,721,0
1058000,73,696,0
1059000,74,730,0
1060000,74,696,0
1061000,74,700,0
1062000,74,731,0
1063000,74,778,0
1064000,74,706,0
1065000,74,717,0
1066000,74,755,0
1067000,74,712,0
1068000,74,763,0
1069000,74,760,0
1070000,74,747,0
1071000,74,739,0
1072000,74,703,0
1073000,75,785,0
1074000,75,767,0
1075000,75,704,0
1076000,75,759,0
1077000,75,750,0
1078000,75,756,0
1079000,75,770,0
1080000,75,753,0
1081000,75,755,0
1082000,75,754,0
1083000,75,715,0
1084000,75,768,0
1085000,75,701,0
1086000,75,783,0
1087000,75,759,0
1088000,76,740,0
1089000,76,752,0
1090000,76,792,0
1091000,76,764,0
1092000,76,762,0
1093000,76,772,0
1094000,76,743,0
1095000,76,705,0
1096000,76,723,0
1097000,76,804,0
1098000,76,737,0
1099000,76,765,0
1100000,76,757,0
1101000,76,768,0
1102000,77,785,0
1103000,77,765,0
1104000,77,781,0
1105000,77,768,0
1106000,77,772,0
1107000,77,776,0
1108000,77,793,0
1109000,77,821,0
1110000,77,762,0
1111000,77,819,0
1112000,77,742,0
1113000,77,747,0
1114000,77,722,0
1115000,77,803,0
1116000,77,741,0
1117000,78,819,0
1118000,78,792,0
1119000,78,795,0
1120000,78,747,0
1121000,78,790,0
1122000,78,766,0
1123000,78,819,0
1124000,78,750,0
1125000,78,793,0
1126000,78,793,0
1127000,78,777,0
1128000,78,743,0
1129000,78,752,0
1130000,78,769,0
1131000,79,794,0
1132000,79,799,0
1133000,79,796,0
1134000,79,805,0
1135000,79,764,0
1136000,79,808,0
1137000,79,802,0
1138000,79,835,0
1139000,79,814,0
1140000,79,815,0
1141000,79,787,0
1142000,79,799,0
1143000,79,814,0
1144000,79,791,0
1145000,80,814,0
1146000,80,816,0
1147000,80,814,0
1148000,80,820,0
1149000,80,761,0
1150000,80,796,0
1151000,80,819,0
1152000,80,795,0
1153000,80,833,0
1154000,80,768,0
1155000,80,786,0
1156000,80,767,0
1157000,80,768,0
1158000,80,778,0
1159000,80,833,0
1160000,81,801,0
1161000,81,796,0
1162000,81,806,0
1163000,81,827,0
1164000,81,790,0
1165000,81,799,0
1166000,81,852,0
1167000,81,828,0
1168000,81,819,0
1169000,81,809,0
1170000,81,802,0
1171000,81,816,0
1172000,81,796,0
1173000,81,762,0
1174000,82,815,0
1175000,82,814,0
1176000,82,801,0
1177000,82,819,0
1178000,82,839,0
1179000,82,822,0
1180000,82,783,0
1181000,82,792,0
1182000,82,809,0
1183000,82,810,0
1184000,82,780,0
1185000,82,844,0
1186000,82,800,0
1187000,82,868,0
1188000,82,864,0
1189000,83,877,0
1190000,83,836,0
1191000,83,880,0
1192000,83,800,0
1193000,83,815,0
1194000,83,850,0
1195000,83,809,0
1196000,83,839,0
1197000,83,804,0
1198000,83,849,0
1199000,83,835,0
1200000,83,841,0
1201000,83,793,0
1202000,83,833,0
1203000,84,818,0
1204000,84,855,0
1205000,84,862,0
1206000,84,815,0
1207000,84,861,0
1208000,84,834,0
1209000,84,842,0
1210000,84,835,0
1211000,84,858,0
1212000,84,824,0
1213000,84,823,0
1214000,84,760,0
1215000,84,890,0
1216000,84,871,0
1217000,85,880,0
1218000,85,881,0
1219000,85,861,0
1220000,85,894,0
1221000,85,803,0
1222000,85,849,0
1223000,85,842,0
1224000,85,892,0
1225000,85,860,0
1226000,85,857,0
1227000,85,813,0
1228000,85,897,0
1229000,85,866,0
1230000,85,829,0
1231000,85,906,0
1232000,86,833,0
1233000,86,878,0
1234000,86,859,0
1235000,86,842,0
1236000,86,857,0
1237000,86,859,0
1238000,86,880,0
1239000,86,874,0
1240000,86,892,0
1241000,86,881,0
1242000,86,875,0
1243000,86,904,0
1244000,86,903,0
1245000,86,865,0
1246000,87,881,0
1247000,87,891,0
1248000,87,889,0
1249000,87,835,0
1250000,87,862,0
1251000,87,908,0
1252000,87,890,0
1253000,87,873,0
1254000,87,871,0
1255000,87,911,0
1256000,87,903,0
1257000,87,881,0
